"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Opis"
"SW1","1","Sw_Res","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","~","Push button switch, generic, two pins"
"S1","1","500SSP1S2M2QEA","","","","SPST ON-OFF-ON:SW_100SP3T1B1M2QEH","https://www.mouser.pl/pl/ProductDetail/E-Switch/500SSP1S2M2QEA?qs=f57gQzlyLipU%252BL4xPBemOw%3D%3D&mgh=1&vip=1&utm_id=20540008314&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=20549663743&gbraid=0AAAAADn_wf34QxRT13xljogOy7NS-Ahll&gclid=CjwKCAjwzNTUBhAjEiwA7zcvWnt3a4znr_Q5bw8X_9xt7auF_vbQnD-P1FmkhQANtu0a8UxmnIfFHxoCQ7YQAvD_BwE",""
"R5","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","Resistor, small symbol"
"R3,R4","2","5,1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","Resistor, small symbol"
"MOD-1","1","*","","","","Antena-Wifi-dobre:BL-M8812EU2","",""
"J2","1","USB_C_Receptacle_USB2.0","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip",""
"J1,J3","2","Conn_01x01","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"D2","1","TPD2EUSB30DRTR","","","","tvs-usb:SOTFL35P100X50-3N","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd2eusb30","TVS DIODE 5.5V 8V SOT3"
"C7,C8","2","100nf","","","","Capacitor_SMD:C_0402_1005Metric","~","Unpolarized capacitor, small symbol (C1005X7S1A225K050BC)"
"C5,C6","2","47 uF 16V","","","","Capacitor_Tantalum_SMD:CP_EIA-6032-15_Kemet-U_HandSolder","~","Polarized capacitor tantalowy 16 V,Polarized capacitor tantalowy 16V"
"C1,C2,C3,C4","4","2.2 uF","","","","capacitor ceramic 2.2 uF 100V:CAPC1005X65N","~","Unpolarized capacitor, small symbol (C1005X7S1A225K050BC)"
